month,id,otherTable_id
2018-09-01,1001,4.0
2018-08-01,1002,4.0
2018-07-01,1003,4.0
2018-06-01,1004,4.0
2018-05-01,1005,4.0
2018-04-01,1006,4.0
2018-03-01,1007,4.0
2018-02-01,1008,4.0
2018-01-01,1009,4.0
2017-12-01,1010,4.0
2017-11-01,1011,4.0
2017-10-01,1012,4.0
2019-01-01,1028,4.0
2018-12-01,1029,4.0
2018-11-01,1030,4.0
2018-10-01,1031,4.0
2018-09-01,1032,4.0
2018-08-01,1033,4.0
2018-07-01,1034,4.0
2018-06-01,1035,4.0
2018-05-01,1036,4.0
2018-04-01,1037,4.0
2018-03-01,1038,4.0
2018-02-01,1039,4.0
2018-01-01,1040,4.0
2017-12-01,1041,4.0
2017-11-01,1042,4.0
2017-10-01,1043,4.0
2017-09-01,1044,4.0
2017-08-01,1045,4.0
2017-07-01,1046,4.0
2017-06-01,1047,4.0
2017-05-01,1048,4.0
2017-04-01,1049,4.0
2017-03-01,1050,4.0
2017-02-01,1051,4.0
2017-01-01,1052,4.0
2019-01-01,1068,4.0
2018-12-01,1069,4.0
2018-11-01,1070,4.0
2018-10-01,1071,4.0
2018-09-01,1072,4.0
2018-08-01,1073,4.0
2018-07-01,1074,4.0
2018-06-01,1075,4.0
2018-05-01,1076,4.0
2018-04-01,1077,4.0
2018-03-01,1078,4.0
2018-02-01,1079,4.0
2018-01-01,1080,4.0
2017-12-01,1081,4.0
2017-11-01,1082,4.0
2017-10-01,1083,4.0
2017-09-01,1084,4.0
2017-08-01,1085,4.0
2017-07-01,1086,4.0
2017-06-01,1087,4.0
2017-05-01,1088,4.0
2017-04-01,1089,4.0
2017-03-01,1090,4.0
2017-02-01,1091,4.0
2017-01-01,1092,4.0
2019-01-01,1130,4.0
2018-12-01,1131,4.0
2018-11-01,1132,4.0
2018-10-01,1133,4.0
2018-09-01,1134,4.0
2018-08-01,1135,4.0
2018-07-01,1136,4.0
2018-06-01,1137,4.0
2018-05-01,1138,4.0
2018-04-01,1139,4.0
2018-03-01,1140,4.0
2018-02-01,1141,4.0
2018-01-01,1142,4.0
2017-12-01,1143,4.0
2017-11-01,1144,4.0
2017-10-01,1145,4.0
2017-09-01,1146,4.0
2017-12-01,1147,4.0
2017-10-01,1148,4.0
2017-07-01,1149,4.0
2017-06-01,1150,4.0
2017-05-01,1151,4.0
2017-03-01,1152,4.0
2017-02-01,1153,4.0
2017-01-01,1154,4.0
2019-01-01,1171,4.0
2018-12-01,1172,4.0
2018-11-01,1173,4.0
2018-10-01,1174,4.0
2018-09-01,1175,4.0
2018-08-01,1176,4.0
2018-07-01,1177,4.0
2018-06-01,1178,4.0
2018-05-01,1179,4.0
2018-04-01,1180,4.0
2018-03-01,1181,4.0
2018-02-01,1182,4.0
2018-01-01,1183,4.0
2017-12-01,1184,4.0
2017-11-01,1185,4.0
2017-10-01,1186,4.0
2017-09-01,1187,4.0
2017-08-01,1188,4.0
2017-07-01,1189,4.0
2017-06-01,1190,4.0
2017-08-01,1193,4.0
2017-07-01,1194,4.0
2017-06-01,1195,4.0
2017-05-01,1196,4.0
2017-04-01,1197,4.0
2017-03-01,1198,4.0
2017-02-01,1199,4.0
2017-01-01,1200,4.0
2017-05-01,1206,4.0
2017-04-01,1207,4.0
2017-03-01,1208,4.0
2017-02-01,1209,4.0
2017-01-01,1210,4.0
2019-01-01,1233,4.0
2018-12-01,1234,4.0
2018-11-01,1235,4.0
2018-10-01,1236,4.0
2018-09-01,1237,4.0
2018-08-01,1238,4.0
2018-07-01,1239,4.0
2018-06-01,1240,4.0
2018-05-01,1241,4.0
2018-04-01,1242,4.0
2018-03-01,1243,4.0
2018-02-01,1244,4.0
2018-01-01,1245,4.0
2017-12-01,1246,4.0
2017-11-01,1247,4.0
2017-10-01,1248,4.0
2017-09-01,1249,4.0
2017-08-01,1250,4.0
2017-07-01,1251,4.0
2017-06-01,1252,4.0
2017-05-01,1253,4.0
2017-04-01,1254,4.0
2017-03-01,1255,4.0
2017-02-01,1256,4.0
2017-01-01,1257,4.0
2019-01-01,1274,4.0
2018-12-01,1275,4.0
2018-11-01,1276,4.0
2018-10-01,1277,4.0
2018-09-01,1278,4.0
2018-08-01,1279,4.0
2018-07-01,1280,4.0
2018-06-01,1281,4.0
2018-05-01,1282,4.0
2018-04-01,1283,4.0
2018-03-01,1284,4.0
2018-02-01,1285,4.0
2018-01-01,1286,4.0
2017-12-01,1287,4.0
2019-01-01,1298,4.0
2018-12-01,1299,4.0
2018-11-01,1300,4.0
2018-10-01,1301,4.0
2018-09-01,1302,4.0
2018-08-01,1303,4.0
2018-07-01,1304,4.0
2018-06-01,1305,4.0
2018-05-01,1306,4.0
2018-04-01,1307,4.0
2018-03-01,1308,4.0
2018-02-01,1309,4.0
2018-01-01,1310,4.0
2019-01-01,1325,4.0
2018-10-01,1326,4.0
2018-09-01,1327,4.0
2018-08-01,1328,4.0
2018-05-01,1329,4.0
2018-04-01,1330,4.0
2018-03-01,1331,4.0
2018-02-01,1332,4.0
2018-01-01,1333,4.0
2019-01-01,1360,4.0
2018-12-01,1361,4.0
2018-11-01,1362,4.0
2018-10-01,1363,4.0
2018-09-01,1364,4.0
2018-08-01,1365,4.0
2018-07-01,1366,4.0
2018-06-01,1367,4.0
2018-05-01,1368,4.0
2018-04-01,1369,4.0
2018-03-01,1370,4.0
2018-02-01,1371,4.0
2018-01-01,1372,4.0
2017-12-01,1373,4.0
2017-11-01,1374,4.0
2017-10-01,1375,4.0
2017-09-01,1376,4.0
2017-08-01,1377,4.0
2017-07-01,1378,4.0
2017-06-01,1379,4.0
2017-05-01,1380,4.0
2017-04-01,1381,4.0
2017-03-01,1382,4.0
2017-02-01,1383,4.0
2017-01-01,1384,4.0
2019-01-01,1400,4.0
2018-12-01,1401,4.0
2018-11-01,1402,4.0
2018-10-01,1403,4.0
2018-09-01,1404,4.0
2018-08-01,1405,4.0
2018-07-01,1406,4.0
2018-06-01,1407,4.0
2018-05-01,1408,4.0
2018-04-01,1409,4.0
2018-03-01,1410,4.0
2018-02-01,1411,4.0
2018-01-01,1412,4.0
2017-12-01,1413,4.0
2017-11-01,1414,4.0
2017-10-01,1415,4.0
2017-09-01,1416,4.0
2017-08-01,1417,4.0
2017-07-01,1418,4.0
2017-06-01,1419,4.0
2017-05-01,1420,4.0
2017-04-01,1421,4.0
2017-03-01,1422,4.0
2017-02-01,1423,4.0
2017-01-01,1424,4.0
2019-01-01,1440,6.0
2018-12-01,1441,6.0
2018-11-01,1442,6.0
2018-10-01,1443,6.0
2018-09-01,1444,6.0
2018-08-01,1445,6.0
2018-07-01,1446,6.0
2018-06-01,1447,6.0
2018-05-01,1448,6.0
2018-04-01,1449,6.0
2018-03-01,1450,6.0
2018-02-01,1451,6.0
2018-01-01,1452,6.0
2017-12-01,1453,6.0
2017-11-01,1454,6.0
2017-10-01,1455,6.0
2017-09-01,1456,6.0
2017-08-01,1457,6.0
2019-01-01,1473,6.0
2018-12-01,1474,6.0
2018-11-01,1475,6.0
2018-10-01,1476,6.0
2018-09-01,1477,6.0
2018-08-01,1478,6.0
2018-07-01,1479,6.0
2018-06-01,1480,6.0
2018-05-01,1481,6.0
2018-04-01,1482,6.0
2018-03-01,1483,6.0
2018-02-01,1484,6.0
2018-01-01,1485,6.0
2017-12-01,1486,6.0
2017-11-01,1487,6.0
2017-10-01,1488,6.0
2017-09-01,1489,6.0
2017-08-01,1490,6.0
2017-07-01,1491,6.0
2017-06-01,1492,6.0
2017-05-01,1493,6.0
2017-04-01,1494,6.0
2017-03-01,1495,6.0
2017-02-01,1496,6.0
2017-01-01,1497,6.0
2019-01-01,1518,6.0
2018-12-01,1519,6.0
2018-11-01,1520,6.0
2018-10-01,1521,6.0
2018-09-01,1522,6.0
2018-08-01,1523,6.0
2018-07-01,1524,6.0
2018-06-01,1525,6.0
2018-05-01,1526,6.0
2018-04-01,1527,6.0
2018-03-01,1528,6.0
2018-02-01,1529,6.0
2018-01-01,1530,6.0
2017-12-01,1531,6.0
2017-11-01,1532,6.0
2017-10-01,1533,6.0
2017-09-01,1534,6.0
2017-08-01,1535,6.0
2017-07-01,1536,6.0
2017-06-01,1537,6.0
2019-01-01,1569,6.0
2018-12-01,1570,6.0
2018-11-01,1571,6.0
2018-10-01,1572,6.0
2018-09-01,1573,6.0
2018-08-01,1574,6.0
2018-07-01,1575,6.0
2018-06-01,1576,6.0
2018-05-01,1577,6.0
2018-04-01,1578,6.0
2018-03-01,1579,6.0
2018-02-01,1580,6.0
2018-01-01,1581,6.0
2017-12-01,1582,6.0
2017-11-01,1583,6.0
2017-10-01,1584,6.0
2017-09-01,1585,6.0
2019-01-01,1601,6.0
2018-12-01,1602,6.0
2018-11-01,1603,6.0
2018-10-01,1604,6.0
2019-01-01,1620,6.0
2018-12-01,1621,6.0
2018-11-01,1622,6.0
2018-10-01,1623,6.0
2018-09-01,1624,6.0
2018-08-01,1625,6.0
2018-07-01,1626,6.0
2018-06-01,1627,6.0
2018-05-01,1628,6.0
2018-04-01,1629,6.0
2018-03-01,1630,6.0
2018-02-01,1631,6.0
2018-01-01,1632,6.0
2019-01-01,1657,6.0
2018-12-01,1658,6.0
2018-11-01,1659,6.0
2018-10-01,1660,6.0
2018-09-01,1661,6.0
2018-08-01,1662,6.0
2018-07-01,1663,6.0
2018-06-01,1664,6.0
2018-05-01,1665,6.0
2018-04-01,1666,6.0
2018-03-01,1667,6.0
2018-02-01,1668,6.0
2018-01-01,1669,6.0
2019-01-01,1685,6.0
2018-12-01,1686,6.0
2018-11-01,1687,6.0
2018-10-01,1688,6.0
2018-09-01,1689,6.0
2018-08-01,1690,6.0
2018-07-01,1691,6.0
2018-06-01,1692,6.0
2018-05-01,1693,6.0
2018-04-01,1694,6.0
2018-03-01,1695,6.0
2018-02-01,1696,6.0
2018-01-01,1697,6.0
2019-01-01,1712,6.0
2018-12-01,1713,6.0
2018-11-01,1714,6.0
2018-10-01,1715,6.0
2018-09-01,1716,6.0
2018-08-01,1717,6.0
2018-07-01,1718,6.0
2018-06-01,1719,6.0
2018-05-01,1720,6.0
2018-04-01,1721,6.0
2018-03-01,1722,6.0
2018-02-01,1723,6.0
2018-01-01,1724,6.0
2017-12-01,1725,6.0
2017-11-01,1726,6.0
2017-10-01,1727,6.0
2017-09-01,1728,6.0
2017-08-01,1729,6.0
2017-07-01,1730,6.0
2017-06-01,1731,6.0
2017-05-01,1732,6.0
2017-04-01,1733,6.0
2017-03-01,1734,6.0
2017-02-01,1735,6.0
2017-01-01,1736,6.0
2019-01-01,1752,6.0
2019-01-01,1767,6.0
2018-12-01,1768,6.0
2018-11-01,1769,6.0
2018-10-01,1770,6.0
2018-09-01,1771,6.0
2018-08-01,1772,6.0
2018-07-01,1773,6.0
2018-06-01,1774,6.0
2018-05-01,1775,6.0
2018-04-01,1776,6.0
2018-03-01,1777,6.0
2018-02-01,1778,6.0
2018-01-01,1779,6.0
2017-12-01,1780,6.0
2017-11-01,1781,6.0
2017-10-01,1782,6.0
2017-09-01,1783,6.0
2017-08-01,1784,6.0
2017-07-01,1785,6.0
2017-06-01,1786,6.0
2017-05-01,1787,6.0
2017-04-01,1788,6.0
2017-03-01,1789,6.0
2017-02-01,1790,6.0
2017-01-01,1791,6.0
2019-01-01,1805,8.0
2018-12-01,1806,8.0
2018-11-01,1807,8.0
2018-10-01,1808,8.0
2018-09-01,1809,8.0
2018-08-01,1810,8.0
2018-07-01,1811,8.0
2018-06-01,1812,8.0
2018-05-01,1813,8.0
2018-04-01,1814,8.0
2018-03-01,1815,8.0
2018-02-01,1816,8.0
2018-01-01,1817,8.0
2017-12-01,1818,8.0
2017-11-01,1819,8.0
2017-10-01,1820,8.0
2017-09-01,1821,8.0
2017-08-01,1822,8.0
2017-07-01,1823,8.0
2017-06-01,1824,8.0
2017-05-01,1825,8.0
2017-04-01,1826,8.0
2017-10-01,1827,8.0
2017-09-01,1828,8.0
2017-08-01,1829,8.0
2017-07-01,1830,8.0
2017-06-01,1831,8.0
2017-05-01,1832,8.0
2017-03-01,1833,8.0
2017-02-01,1834,8.0
2017-01-01,1835,8.0
2018-12-01,1839,8.0
2018-11-01,1840,8.0
2018-10-01,1841,8.0
2018-09-01,1842,8.0
2018-08-01,1843,8.0
2018-07-01,1844,8.0
2018-06-01,1845,8.0
2018-05-01,1846,8.0
2018-04-01,1847,8.0
2018-03-01,1848,8.0
2018-02-01,1849,8.0
2018-01-01,1850,8.0
2019-01-01,1866,8.0
2018-12-01,1867,8.0
2018-11-01,1868,8.0
2018-10-01,1869,8.0
2018-09-01,1870,8.0
2018-08-01,1871,8.0
2018-07-01,1872,8.0
2018-06-01,1873,8.0
2018-05-01,1874,8.0
2018-04-01,1875,8.0
2018-03-01,1876,8.0
2018-02-01,1877,8.0
2019-01-01,1887,8.0
2018-11-01,1888,8.0
2018-10-01,1889,8.0
2018-09-01,1890,8.0
2018-08-01,1891,8.0
2018-07-01,1892,8.0
2018-06-01,1893,8.0
2018-05-01,1894,8.0
2018-04-01,1895,8.0
2018-03-01,1896,8.0
2018-02-01,1897,8.0
2018-01-01,1898,8.0
2017-12-01,1899,8.0
2017-11-01,1900,8.0
2017-10-01,1901,8.0
2017-09-01,1902,8.0
2019-01-01,1918,8.0
2018-12-01,1919,8.0
2018-11-01,1920,8.0
2018-10-01,1921,8.0
2018-09-01,1922,8.0
2018-08-01,1923,8.0
2018-07-01,1924,8.0
2018-06-01,1925,8.0
2018-05-01,1926,8.0
2018-04-01,1927,8.0
2018-03-01,1928,8.0
2018-02-01,1929,8.0
2018-01-01,1930,8.0
2017-12-01,1931,8.0
2017-11-01,1932,8.0
2017-10-01,1933,8.0
2017-09-01,1934,8.0
2017-08-01,1935,8.0
2017-07-01,1936,8.0
2017-06-01,1937,8.0
2017-05-01,1938,8.0
2017-04-01,1939,8.0
2017-03-01,1940,8.0
2017-02-01,1941,8.0
2017-01-01,1942,8.0
2019-01-01,1959,8.0
2018-12-01,1960,8.0
2018-11-01,1961,8.0
2018-10-01,1962,8.0
2018-09-01,1963,8.0
2018-08-01,1964,8.0
2018-07-01,1965,8.0
2018-06-01,1966,8.0
2018-05-01,1967,8.0
2018-04-01,1968,8.0
2017-11-01,1969,8.0
2017-10-01,1970,8.0
2017-09-01,1971,8.0
2017-08-01,1972,8.0
2017-07-01,1973,8.0
2017-06-01,1974,8.0
2017-05-01,1975,8.0
2017-04-01,1976,8.0
2017-03-01,1977,8.0
2017-02-01,1978,8.0
2017-01-01,1979,8.0
2019-01-01,2029,8.0
2018-12-01,2030,8.0
2018-11-01,2031,8.0
2018-10-01,2032,8.0
2018-09-01,2033,8.0
2018-08-01,2034,8.0
2018-07-01,2035,8.0
2018-06-01,2036,8.0
2018-05-01,2037,8.0
2018-04-01,2038,8.0
2018-03-01,2039,8.0
2018-02-01,2040,8.0
2018-01-01,2041,8.0
2017-12-01,2042,8.0
2017-11-01,2043,8.0
2017-10-01,2044,8.0
2017-09-01,2045,8.0
2017-08-01,2046,8.0
2017-07-01,2047,8.0
2017-06-01,2048,8.0
2017-05-01,2049,8.0
2017-04-01,2050,8.0
2017-03-01,2051,8.0
2019-01-01,2058,8.0
2018-10-01,2059,8.0
2018-09-01,2060,8.0
2018-07-01,2061,8.0
2018-06-01,2062,8.0
2018-05-01,2063,8.0
2018-04-01,2064,8.0
2018-03-01,2065,8.0
2018-02-01,2066,8.0
2018-01-01,2067,8.0
2017-12-01,2068,8.0
2017-11-01,2069,8.0
2017-10-01,2070,8.0
2017-09-01,2071,8.0
2017-08-01,2072,8.0
2017-07-01,2073,8.0
2017-06-01,2074,8.0
2017-05-01,2075,8.0
2018-06-01,2081,8.0
2018-05-01,2082,8.0
2018-04-01,2083,8.0
2018-03-01,2084,8.0
2018-02-01,2085,8.0
2018-01-01,2086,8.0
2017-12-01,2087,8.0
2017-11-01,2088,8.0
2017-10-01,2089,8.0
2017-09-01,2090,8.0
2017-08-01,2091,8.0
2017-07-01,2092,8.0
2017-06-01,2093,8.0
2017-05-01,2094,8.0
2017-04-01,2095,8.0
2017-03-01,2096,8.0
2017-02-01,2097,8.0
2017-01-01,2098,8.0
2017-07-01,2117,8.0
2017-06-01,2118,8.0
2017-04-01,2119,8.0
2017-03-01,2120,8.0
2017-02-01,2121,8.0
2017-01-01,2122,8.0
2018-12-01,2140,8.0
2018-11-01,2141,8.0
2018-10-01,2142,8.0
2018-09-01,2143,8.0
2018-08-01,2144,8.0
2018-07-01,2145,8.0
2018-06-01,2146,8.0
2018-05-01,2147,8.0
2019-01-01,2179,8.0
2018-12-01,2180,8.0
2018-11-01,2181,8.0
2018-10-01,2182,8.0
2018-09-01,2183,8.0
2018-08-01,2184,8.0
2018-07-01,2185,8.0
2018-06-01,2186,8.0
2018-05-01,2187,8.0
2018-04-01,2188,8.0
2018-03-01,2189,8.0
2018-02-01,2190,8.0
2018-01-01,2191,8.0
2017-12-01,2192,8.0
2017-11-01,2193,8.0
2019-01-01,2208,8.0
2018-12-01,2209,8.0
2018-11-01,2210,8.0
2018-10-01,2211,8.0
2018-09-01,2212,8.0
2018-08-01,2213,8.0
2018-07-01,2214,8.0
2018-06-01,2215,8.0
2018-05-01,2216,8.0
2018-04-01,2217,8.0
2018-03-01,2218,8.0
2018-02-01,2219,8.0
2019-01-01,2222,8.0
2018-12-01,2223,8.0
2018-11-01,2224,8.0
2018-09-01,2225,8.0
2018-08-01,2226,8.0
2018-07-01,2227,8.0
2018-06-01,2228,8.0
2018-05-01,2229,8.0
2018-04-01,2230,8.0
2018-03-01,2231,8.0
2018-02-01,2232,8.0
2018-01-01,2233,8.0
2019-01-01,2249,8.0
2018-12-01,2250,8.0
2018-11-01,2251,8.0
2018-10-01,2252,8.0
2018-09-01,2253,8.0
2018-08-01,2254,8.0
2018-07-01,2255,8.0
2018-06-01,2256,8.0
2018-05-01,2257,8.0
2018-04-01,2258,8.0
2018-03-01,2259,8.0
2018-02-01,2260,8.0
2018-01-01,2261,8.0
2019-01-01,2285,8.0
2018-12-01,2286,8.0
2018-11-01,2287,8.0
2018-10-01,2288,8.0
2018-09-01,2289,8.0
2018-08-01,2290,8.0
2018-07-01,2291,8.0
2018-06-01,2292,8.0
2018-05-01,2293,8.0
2018-04-01,2294,8.0
2018-03-01,2295,8.0
2018-02-01,2296,8.0
2018-01-01,2297,8.0
2017-12-01,2298,8.0
2017-11-01,2299,8.0
2017-10-01,2300,8.0
2017-09-01,2301,8.0
2017-08-01,2302,8.0
2017-07-01,2303,8.0
2017-06-01,2304,8.0
2017-05-01,2305,8.0
2017-04-01,2306,8.0
2017-03-01,2307,8.0
2017-02-01,2308,8.0
2017-01-01,2309,8.0
2019-01-01,2323,8.0
2018-12-01,2324,8.0
2018-11-01,2325,8.0
2018-10-01,2326,8.0
2018-09-01,2327,8.0
2018-05-01,2328,8.0
2018-03-01,2329,8.0
2018-02-01,2330,8.0
2018-01-01,2331,8.0
2017-12-01,2332,8.0
2017-11-01,2333,8.0
2017-10-01,2334,8.0
2017-09-01,2335,8.0
2017-08-01,2336,8.0
2017-07-01,2337,8.0
2017-06-01,2338,8.0
2017-05-01,2339,8.0
2017-04-01,2340,8.0
2017-03-01,2341,8.0
2017-02-01,2342,8.0
2017-01-01,2343,8.0
2019-01-01,2357,9.0
2018-12-01,2358,9.0
2018-11-01,2359,9.0
2018-10-01,2360,9.0
2018-09-01,2361,9.0
2018-08-01,2362,9.0
2018-07-01,2363,9.0
2018-06-01,2364,9.0
2018-05-01,2365,9.0
2018-04-01,2366,9.0
2018-03-01,2367,9.0
2018-02-01,2368,9.0
2018-01-01,2369,9.0
2017-12-01,2370,9.0
2017-11-01,2371,9.0
2017-10-01,2372,9.0
2017-09-01,2373,9.0
2017-08-01,2374,9.0
2017-07-01,2375,9.0
2017-06-01,2376,9.0
2017-05-01,2377,9.0
2019-01-01,2392,9.0
2018-12-01,2393,9.0
2018-11-01,2394,9.0
2018-10-01,2395,9.0
2018-09-01,2396,9.0
2018-08-01,2397,9.0
2018-07-01,2398,9.0
2018-06-01,2399,9.0
2018-05-01,2400,9.0
2018-04-01,2401,9.0
2018-03-01,2402,9.0
2019-01-01,2417,9.0
2018-12-01,2418,9.0
2018-11-01,2419,9.0
2018-10-01,2420,9.0
2018-09-01,2421,9.0
2018-08-01,2422,9.0
2018-07-01,2423,9.0
2018-06-01,2424,9.0
2018-05-01,2425,9.0
2018-04-01,2426,9.0
2018-03-01,2427,9.0
2018-02-01,2428,9.0
2018-01-01,2429,9.0
2017-12-01,2430,9.0
2017-11-01,2431,9.0
2017-10-01,2432,9.0
2017-09-01,2433,9.0
2017-08-01,2434,9.0
2017-07-01,2435,9.0
2017-06-01,2436,9.0
2017-05-01,2437,9.0
2017-04-01,2438,9.0
2017-03-01,2439,9.0
2017-02-01,2440,9.0
2017-01-01,2441,9.0
2019-01-01,2469,9.0
2018-12-01,2470,9.0
2018-11-01,2471,9.0
2018-10-01,2472,9.0
2018-09-01,2473,9.0
2018-08-01,2474,9.0
2018-07-01,2475,9.0
2018-06-01,2476,9.0
2018-05-01,2477,9.0
2018-04-01,2478,9.0
2018-03-01,2479,9.0
2018-02-01,2480,9.0
2018-01-01,2481,9.0
2017-12-01,2482,9.0
2017-11-01,2483,9.0
2017-10-01,2484,9.0
2017-09-01,2485,9.0
2019-01-01,2494,9.0
2018-12-01,2495,9.0
2018-11-01,2496,9.0
2018-10-01,2497,9.0
2018-09-01,2498,9.0
2018-08-01,2499,9.0
2018-07-01,2500,9.0
2018-06-01,2501,9.0
2018-05-01,2502,9.0
2018-04-01,2503,9.0
2018-03-01,2504,9.0
2018-02-01,2505,9.0
2018-01-01,2506,9.0
2017-12-01,2507,9.0
2017-11-01,2508,9.0
2017-10-01,2509,9.0
2017-09-01,2510,9.0
2017-08-01,2511,9.0
2017-07-01,2512,9.0
2017-06-01,2513,9.0
2017-05-01,2514,9.0
2017-04-01,2515,9.0
2017-03-01,2516,9.0
2017-02-01,2517,9.0
2017-01-01,2518,9.0
2019-01-01,2535,9.0
2018-12-01,2536,9.0
2018-11-01,2537,9.0
2018-10-01,2538,9.0
2018-09-01,2539,9.0
2018-08-01,2540,9.0
2018-07-01,2541,9.0
2018-06-01,2542,9.0
2018-05-01,2543,9.0
2018-04-01,2544,9.0
2018-03-01,2545,9.0
2018-02-01,2546,9.0
2018-01-01,2547,9.0
2017-10-01,2548,9.0
2017-09-01,2549,9.0
2017-08-01,2550,9.0
2017-07-01,2551,9.0
2017-06-01,2552,9.0
2017-05-01,2553,9.0
2017-04-01,2554,9.0
2017-03-01,2555,9.0
2017-02-01,2556,9.0
2017-01-01,2557,9.0
2019-01-01,2586,9.0
2018-12-01,2587,9.0
2018-11-01,2588,9.0
2018-10-01,2589,9.0
2018-09-01,2590,9.0
2018-08-01,2591,9.0
2018-07-01,2592,9.0
2018-06-01,2593,9.0
2018-05-01,2594,9.0
2018-04-01,2595,9.0
2018-03-01,2596,9.0
2018-02-01,2597,9.0
2018-01-01,2598,9.0
2017-12-01,2599,9.0
2017-11-01,2600,9.0
2017-08-01,2601,9.0
2017-06-01,2602,9.0
2019-01-01,2618,9.0
2018-12-01,2619,9.0
2018-11-01,2620,9.0
2018-10-01,2621,9.0
2018-09-01,2622,9.0
2018-08-01,2623,9.0
2018-07-01,2624,9.0
2018-06-01,2625,9.0
2018-05-01,2626,9.0
2018-04-01,2627,9.0
2018-03-01,2628,9.0
2018-02-01,2629,9.0
2018-01-01,2630,9.0
2017-12-01,2631,9.0
2017-11-01,2632,9.0
2017-10-01,2633,9.0
2017-09-01,2634,9.0
2017-08-01,2635,9.0
2017-07-01,2636,9.0
2017-06-01,2637,9.0
2017-05-01,2638,9.0
2017-04-01,2639,9.0
2017-03-01,2640,9.0
2017-02-01,2641,9.0
2017-01-01,2642,9.0
2019-01-01,2679,9.0
2018-12-01,2680,9.0
2018-11-01,2681,9.0
2018-10-01,2682,9.0
2018-09-01,2683,9.0
2018-08-01,2684,9.0
2018-07-01,2685,9.0
2018-06-01,2686,9.0
2018-05-01,2687,9.0
2018-04-01,2688,9.0
2018-03-01,2689,9.0
2018-02-01,2690,9.0
2018-01-01,2691,9.0
2017-12-01,2692,9.0
2017-11-01,2693,9.0
2017-10-01,2694,9.0
2017-09-01,2695,9.0
2017-08-01,2696,9.0
2017-07-01,2697,9.0
2019-01-01,2712,9.0
2018-12-01,2713,9.0
2018-11-01,2714,9.0
2018-10-01,2715,9.0
2018-09-01,2716,9.0
2018-08-01,2717,9.0
2018-07-01,2718,9.0
2018-06-01,2719,9.0
2018-05-01,2720,9.0
2018-04-01,2721,9.0
2018-03-01,2722,9.0
2018-02-01,2723,9.0
2018-01-01,2724,9.0
2017-12-01,2725,9.0
2017-11-01,2726,9.0
2017-10-01,2727,9.0
2017-09-01,2728,9.0
2017-08-01,2729,9.0
2017-07-01,2730,9.0
2017-06-01,2731,9.0
